Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.19%,453,"$56,567,698",10.30%,-24.77%
$10M or more,70.59%,136,"$1,505,886,304",4.78%,-13.80%
$1M to $4.9M,69.37%,382,"$424,383,467",10.55%,-20.53%
$500K to $999K,68.35%,218,"$62,003,777",9.15%,-11.71%
$5M to $9.9M,80.00%,75,"$293,472,525",6.19%,-57.95%
Less than $100K,64.20%,81,"$5,774,313",33.61%,-13.06%
Total,70.56%,"1,345","$2,348,088,084",9.23%,-19.40%
