Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.65%,541,"$58,690,304",9.05%,-18.31%
$10M or more,66.91%,414,"$3,374,071,927",4.11%,-6.71%
$1M to $4.9M,68.55%,531,"$428,197,797",8.21%,-14.54%
$500K to $999K,71.24%,299,"$76,176,910",8.65%,-15.80%
$5M to $9.9M,71.01%,138,"$347,088,860",6.81%,-14.99%
Less than $100K,62.11%,95,"$10,220,435",36.35%,-6.95%
Total,68.24%,"2,018","$4,294,446,233",7.74%,-12.32%
