Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",63.46%,52,"$27,453,485",13.62%,-13.57%
Education,78.79%,66,"$269,791,888",6.97%,-17.66%
Environment and animals,54.84%,31,"$41,322,354",12.07%,-3.78%
Health,76.25%,80,"$164,207,822",9.52%,-10.71%
Hospitals,67.86%,28,"$90,642,109",3.57%,-6.74%
Human services,76.78%,323,"$258,211,830",5.43%,-31.25%
"International, foreign affairs",66.67%,6,"$77,123,238",2.13%,-6.02%
"Public, societal benefit",85.92%,71,"$99,169,436",8.48%,-39.24%
Religion-related,61.90%,21,"$6,096,078",10.64%,-10.59%
Unclassified,77.05%,183,"$489,799,358",5.40%,-21.73%
Universities,76.92%,13,"$75,680,112",4.22%,-22.07%
Total,75.40%,874,"$1,599,497,710",6.87%,-21.16%
