Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.96%,108,"$52,977,621",13.59%,-7.38%
Education,74.87%,195,"$1,117,408,796",7.62%,-32.91%
Environment and animals,54.55%,33,"$55,373,812",18.53%,-7.91%
Health,71.82%,110,"$324,419,765",8.06%,-19.17%
Hospitals,55.56%,18,"$147,689,225",4.00%,-2.81%
Human services,77.51%,409,"$355,572,646",5.82%,-47.93%
"International, foreign affairs",33.33%,3,"$59,238",1.51%,0.72%
"Public, societal benefit",64.66%,116,"$87,511,763",9.73%,-30.44%
Religion-related,42.86%,21,"$5,501,696",24.42%,3.79%
Unclassified,75.44%,228,"$550,964,302",6.26%,-28.62%
Universities,77.78%,9,"$251,090,144",3.71%,-16.75%
Total,72.16%,"1,250","$2,948,569,008",7.76%,-26.93%
