Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
California,66.00%,"11,034","$45,354,435,566",8.89%,-13.44%
Alameda County,63.79%,914,"$3,411,695,679",10.22%,-11.87%
Amador County,71.43%,14,"$6,411,102",11.90%,-36.56%
Butte County,81.82%,77,"$276,630,540",4.44%,-59.57%
Calaveras County,84.62%,13,"$24,901,430",-3.01%,-38.17%
Colusa County,100.00%,3,"$2,686,555",4.29%,-79.30%
Contra Costa County,60.61%,297,"$397,830,477",11.30%,-6.91%
Del Norte County,90.00%,10,"$10,632,958",3.82%,-69.28%
El Dorado County,76.47%,51,"$196,509,761",4.99%,-39.77%
Fresno County,66.67%,177,"$1,111,238,587",9.62%,-14.09%
Glenn County,50.00%,4,"$15,695,577",9.85%,-40.96%
Humboldt County,77.00%,100,"$234,335,152",6.70%,-25.57%
Imperial County,90.91%,22,"$43,465,157",4.01%,-39.20%
Inyo County,76.92%,13,"$34,533,973",11.94%,-14.17%
Kern County,71.82%,110,"$491,244,705",7.01%,-28.85%
Kings County,61.54%,13,"$45,795,585",16.64%,-27.46%
Lake County,82.35%,17,"$25,282,959",7.06%,-56.87%
Lassen County,100.00%,7,"$30,385,382",14.23%,-59.52%
Los Angeles County,67.38%,"2,673","$15,507,585,388",7.41%,-15.86%
Madera County,64.71%,17,"$84,957,006",14.65%,-7.14%
Marin County,53.82%,249,"$268,213,147",12.77%,-3.51%
Mariposa County,72.73%,11,"$8,198,492",4.02%,-22.77%
Mendocino County,80.82%,73,"$281,958,087",6.08%,-31.64%
Merced County,76.92%,26,"$72,361,099",11.39%,-16.87%
Modoc County,75.00%,8,"$6,372,068",1.14%,-41.07%
Mono County,72.73%,11,"$4,534,328",4.95%,-35.09%
Monterey County,61.72%,128,"$214,531,264",13.95%,-11.06%
Napa County,67.53%,77,"$451,072,465",9.58%,-9.04%
Nevada County,67.53%,77,"$72,698,273",7.47%,-16.34%
Orange County,55.05%,614,"$1,702,080,236",11.56%,-3.70%
Placer County,59.48%,116,"$278,305,280",5.08%,-6.03%
Plumas County,81.25%,16,"$31,396,375",9.99%,-41.80%
Riverside County,62.80%,293,"$719,416,155",9.23%,-11.22%
Sacramento County,67.90%,486,"$2,325,401,092",8.16%,-25.51%
San Benito County,70.59%,17,"$29,607,558",12.21%,-27.58%
San Bernardino County,67.90%,271,"$1,799,793,910",9.60%,-25.44%
San Diego County,63.66%,875,"$3,989,501,826",8.66%,-10.31%
San Francisco County,70.57%,887,"$3,259,520,036",9.29%,-15.93%
San Joaquin County,75.00%,100,"$621,611,503",7.53%,-25.13%
San Luis Obispo County,63.33%,120,"$206,651,109",10.45%,-8.25%
San Mateo County,63.18%,277,"$2,044,321,318",11.66%,-11.73%
Santa Barbara County,56.94%,216,"$606,300,883",13.26%,-6.35%
Santa Clara County,63.18%,516,"$2,099,353,876",10.68%,-8.24%
Santa Cruz County,65.58%,154,"$186,861,765",10.08%,-10.44%
Shasta County,76.81%,69,"$376,405,779",7.01%,-44.07%
Sierra County,100.00%,5,"$1,554,513",12.45%,-75.19%
Siskiyou County,78.95%,19,"$18,290,221",5.28%,-51.98%
Solano County,67.19%,64,"$98,629,870",7.55%,-17.06%
Sonoma County,69.23%,234,"$395,215,328",7.51%,-18.22%
Stanislaus County,74.65%,71,"$167,657,200",4.18%,-17.65%
Sutter County,94.74%,19,"$91,684,989",5.22%,-72.24%
Tehama County,72.73%,11,"$17,371,020",6.02%,-66.02%
Trinity County,66.67%,9,"$9,203,611",21.64%,-5.06%
Tulare County,67.16%,67,"$237,489,158",10.04%,-13.22%
Tuolumne County,70.00%,20,"$21,307,812",10.63%,-16.64%
Ventura County,66.82%,217,"$563,374,135",5.40%,-16.52%
Yolo County,77.14%,70,"$101,275,893",6.08%,-23.95%
Yuba County,100.00%,9,"$23,095,919",13.00%,-29.72%
