Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,61.32%,243,"$25,179,773",11.17%,-11.39%
$10M or more,54.93%,71,"$379,638,189",6.61%,-1.68%
$1M to $4.9M,67.82%,202,"$207,280,230",10.85%,-11.89%
$500K to $999K,72.03%,118,"$32,037,550",9.67%,-21.54%
$5M to $9.9M,65.96%,47,"$143,322,492",7.92%,-8.70%
Less than $100K,50.00%,22,"$3,447,106",23.00%,-0.34%
Total,64.30%,703,"$790,905,340",9.59%,-10.54%
