Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.09%,445,"$49,543,501",8.50%,-15.61%
$10M or more,74.80%,246,"$3,150,270,781",2.71%,-11.75%
$1M to $4.9M,73.38%,462,"$466,514,380",7.70%,-20.09%
$500K to $999K,70.69%,290,"$72,211,863",7.28%,-14.64%
$5M to $9.9M,84.33%,134,"$405,229,626",2.04%,-22.89%
Less than $100K,48.28%,87,"$8,646,766",30.87%,0.00%
Total,71.27%,"1,664","$4,152,416,917",6.56%,-16.08%
