Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,64.41%,784,"$81,890,427",11.29%,-11.62%
$10M or more,70.74%,393,"$4,338,419,860",4.23%,-8.11%
$1M to $4.9M,66.37%,776,"$709,061,724",8.25%,-13.26%
$500K to $999K,66.80%,488,"$139,560,641",9.45%,-14.32%
$5M to $9.9M,71.21%,198,"$524,190,101",8.05%,-12.19%
Less than $100K,66.36%,107,"$13,058,877",24.91%,-23.15%
Total,66.86%,"2,746","$5,806,181,630",8.26%,-12.09%
