Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,62.53%,718,"$64,677,269",11.92%,-8.15%
$10M or more,58.74%,269,"$2,260,837,100",6.38%,-4.80%
$1M to $4.9M,64.89%,618,"$465,113,321",9.56%,-10.06%
$500K to $999K,64.16%,399,"$93,309,949",12.07%,-10.96%
$5M to $9.9M,67.33%,150,"$355,166,362",6.81%,-8.87%
Less than $100K,60.98%,82,"$5,419,605",17.50%,-14.51%
Total,63.28%,"2,236","$3,244,523,606",10.10%,-8.12%
