Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.27%,169,"$105,998,455",15.83%,-14.08%
Education,67.92%,212,"$543,857,418",11.39%,-13.47%
Environment and animals,48.05%,77,"$177,117,194",14.17%,2.20%
Health,72.86%,210,"$369,077,830",9.58%,-18.89%
Hospitals,63.33%,30,"$494,077,313",1.27%,-5.61%
Human services,73.63%,713,"$557,891,061",6.69%,-24.49%
"International, foreign affairs",47.62%,21,"$3,308,439",5.15%,0.66%
Mutual/membership benefit,100.00%,2,"$278,312",9.29%,-33.28%
"Public, societal benefit",71.74%,184,"$291,325,830",6.44%,-27.99%
Religion-related,46.99%,83,"$37,032,558",14.50%,1.82%
Unclassified,72.28%,368,"$881,263,553",6.87%,-20.14%
Universities,67.74%,31,"$417,665,774",5.25%,-6.68%
Total,69.52%,"2,100","$3,878,893,737",8.31%,-17.16%
