Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.22%,45,"$8,306,805",9.13%,-7.88%
Education,48.89%,45,"$12,847,469",12.95%,1.26%
Environment and animals,51.47%,68,"$35,839,910",15.26%,-0.87%
Health,66.18%,68,"$132,608,054",7.84%,-11.67%
Hospitals,34.48%,29,"$59,540,188",9.23%,2.29%
Human services,72.69%,216,"$187,049,895",8.10%,-18.11%
"International, foreign affairs",100.00%,1,"$1,459,235",-12.47%,-64.22%
"Public, societal benefit",59.72%,72,"$53,190,001",14.02%,-13.91%
Religion-related,75.00%,8,"$6,427,405",4.95%,-8.03%
Unclassified,68.06%,144,"$231,821,434",7.89%,-10.54%
Universities,100.00%,7,"$61,814,944",5.72%,-75.56%
Total,64.30%,703,"$790,905,340",9.59%,-10.54%
