Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Illinois,67.56%,"3,567","$10,864,976,128",8.05%,-13.52%
Adams County,73.68%,38,"$57,332,568",8.95%,-20.32%
Alexander County,100.00%,1,"$1,462,063",8.05%,-88.77%
Bond County,100.00%,2,"$8,192,228",8.69%,-36.22%
Boone County,87.50%,8,"$2,928,829",4.26%,-19.79%
Brown County,80.00%,5,"$1,203,398",-11.47%,-57.26%
Bureau County,66.67%,15,"$28,267,681",3.55%,-18.04%
Calhoun County,100.00%,1,"$39,048",2.60%,-6.22%
Carroll County,100.00%,5,"$1,478,234",-3.37%,-14.77%
Cass County,100.00%,3,"$6,380,770",-0.42%,-96.48%
Champaign County,64.47%,76,"$63,544,839",8.24%,-13.34%
Christian County,40.00%,5,"$7,443,968",9.85%,4.51%
Clark County,100.00%,2,"$1,717,638",2.99%,-16.76%
Clay County,0.00%,1,"$694,303",31.86%,9.42%
Clinton County,100.00%,3,"$1,193,662",8.80%,-23.59%
Coles County,75.00%,16,"$14,464,973",10.88%,-43.88%
Cook County,66.76%,"1,799","$7,168,489,860",8.39%,-12.13%
Crawford County,100.00%,3,"$1,810,489",-11.51%,-67.36%
Cumberland County,100.00%,4,"$22,315,917",14.12%,-30.52%
De Witt County,50.00%,2,"$88,631",11.43%,3.97%
DeKalb County,78.95%,19,"$33,214,270",8.86%,-33.80%
Douglas County,66.67%,3,"$484,933",22.01%,-11.23%
DuPage County,54.08%,196,"$266,493,740",11.35%,-1.75%
Edgar County,0.00%,4,"$996,213",30.05%,26.37%
Effingham County,80.00%,10,"$29,371,785",3.19%,-54.69%
Fayette County,25.00%,4,"$1,534,444",4.09%,3.35%
Ford County,33.33%,3,"$829,727",42.25%,11.68%
Franklin County,75.00%,4,"$13,687,464",13.93%,-42.94%
Fulton County,72.73%,11,"$8,695,560",9.40%,-8.61%
Greene County,100.00%,2,"$1,214,635",10.24%,-16.73%
Grundy County,60.00%,5,"$2,404,242",4.61%,-9.43%
Hamilton County,0.00%,1,"$806,891",73.41%,4.55%
Hancock County,33.33%,3,"$7,458,506",21.79%,0.84%
Hardin County,100.00%,1,"$1,674,516",-6.46%,-68.56%
Henderson County,50.00%,2,"$2,885,844",3.45%,-29.18%
Henry County,46.15%,13,"$1,997,325",2.38%,0.33%
Iroquois County,100.00%,6,"$2,771,909",1.76%,-54.94%
Jackson County,66.67%,24,"$27,995,327",8.16%,-40.74%
Jasper County,100.00%,1,"$104,787",-5.15%,-53.68%
