Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.04%,96,"$54,653,678",8.10%,-18.97%
Education,90.62%,160,"$815,365,951",8.26%,-85.22%
Environment and animals,56.25%,48,"$44,040,468",11.96%,-7.26%
Health,57.35%,68,"$187,256,224",12.64%,-8.79%
Hospitals,20.00%,5,"$23,597,732",19.70%,6.26%
Human services,74.46%,184,"$253,716,735",7.57%,-26.18%
"International, foreign affairs",14.29%,7,"$627,919",12.14%,2.63%
"Public, societal benefit",75.00%,40,"$17,131,547",9.04%,-21.16%
Religion-related,25.00%,4,"$134,893",23.11%,16.60%
Unclassified,63.20%,125,"$262,337,834",10.48%,-17.76%
Universities,33.33%,3,"$48,788,185",4.24%,0.50%
Total,72.16%,740,"$1,707,651,166",9.68%,-23.91%
