Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Tennessee,69.52%,"2,100","$3,878,893,737",8.31%,-17.16%
1st Congressional district,74.43%,262,"$257,795,142",5.62%,-25.96%
2nd Congressional district,67.83%,230,"$356,756,974",10.74%,-9.64%
3rd Congressional district,65.19%,270,"$352,376,560",9.72%,-13.65%
4th Congressional district,70.40%,125,"$96,918,468",6.53%,-32.43%
5th Congressional district,59.80%,204,"$217,631,260",9.07%,-6.32%
6th Congressional district,71.90%,210,"$278,764,551",7.69%,-32.29%
7th Congressional district,67.71%,319,"$1,243,552,514",11.63%,-13.02%
8th Congressional district,78.53%,163,"$192,768,681",4.40%,-20.13%
9th Congressional district,71.92%,317,"$882,329,587",8.08%,-23.16%
