Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
New Jersey,69.56%,"2,595","$5,819,107,231",8.60%,-15.76%
10th Congressional district,78.72%,235,"$1,120,717,032",6.73%,-37.95%
11th Congressional district,61.87%,257,"$352,326,771",12.25%,-7.66%
12th Congressional district,70.18%,285,"$805,203,888",8.42%,-12.21%
1st Congressional district,75.28%,178,"$433,100,832",5.81%,-27.15%
2nd Congressional district,71.22%,205,"$272,412,954",9.25%,-16.33%
3rd Congressional district,65.67%,201,"$357,087,621",9.03%,-11.48%
4th Congressional district,60.74%,242,"$248,601,495",10.08%,-7.62%
5th Congressional district,64.22%,232,"$415,513,504",9.22%,-10.20%
6th Congressional district,75.70%,214,"$935,337,452",6.69%,-19.79%
7th Congressional district,69.06%,278,"$223,905,115",9.42%,-14.52%
8th Congressional district,80.95%,126,"$348,133,736",9.16%,-31.74%
9th Congressional district,68.31%,142,"$306,766,831",6.12%,-18.10%
