Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Montana,64.30%,703,"$790,905,340",9.59%,-10.54%
Beaverhead County,66.67%,6,"$981,030",6.55%,-11.93%
Big Horn County,85.71%,7,"$14,593,247",21.69%,-8.09%
Blaine County,100.00%,4,"$9,452,848",-14.39%,-31.32%
Carbon County,58.33%,12,"$1,587,118",7.58%,-1.02%
Carter County,0.00%,2,"$1,520,400",29.22%,8.33%
Cascade County,68.75%,48,"$75,861,377",7.90%,-21.83%
Chouteau County,50.00%,4,"$45,389,682",22.78%,-5.75%
Custer County,83.33%,6,"$6,727,785",0.34%,-56.23%
Daniels County,0.00%,1,"$12,283",2.44%,2.34%
Dawson County,100.00%,3,"$7,253,857",-1.19%,-91.48%
Deer Lodge County,50.00%,6,"$17,289,903",12.15%,-1.68%
Fallon County,33.33%,3,"$441,374",4.42%,2.29%
Fergus County,80.00%,10,"$4,944,691",9.00%,-32.78%
Flathead County,45.45%,55,"$34,428,199",15.69%,3.17%
Gallatin County,56.38%,94,"$40,613,140",13.87%,-4.86%
Glacier County,77.78%,9,"$20,508,151",26.24%,-36.00%
Hill County,90.91%,11,"$15,890,218",4.28%,-45.40%
Jefferson County,75.00%,4,"$1,528,358",18.62%,-36.06%
Lake County,46.67%,15,"$42,178,724",25.72%,10.09%
Lewis and Clark County,69.49%,59,"$80,761,521",5.32%,-14.62%
Liberty County,100.00%,1,"$111,499",-2.86%,-32.66%
Lincoln County,73.33%,15,"$14,545,482",8.27%,-36.43%
Madison County,50.00%,8,"$1,566,612",5.71%,-7.70%
McCone County,100.00%,1,"$455,802",-7.88%,-18.35%
Meagher County,50.00%,2,"$44,149",-1.81%,-6.01%
Mineral County,0.00%,1,"$682,416",7.87%,1.73%
Missoula County,65.09%,106,"$108,085,899",8.75%,-8.12%
Musselshell County,50.00%,2,"$7,378,198",23.06%,-27.24%
Park County,52.38%,21,"$8,571,173",11.12%,-8.81%
Petroleum County,0.00%,2,"$3,181,916",81.94%,45.20%
Phillips County,80.00%,5,"$2,294,750",-4.73%,-18.78%
Pondera County,100.00%,3,"$1,962,211",-3.79%,-84.63%
Powell County,80.00%,5,"$2,145,271",6.30%,-31.32%
Ravalli County,77.78%,18,"$14,291,741",16.61%,-24.63%
Richland County,77.78%,9,"$8,752,930",-2.53%,-18.19%
Roosevelt County,75.00%,4,"$18,464,059",11.29%,-30.11%
Rosebud County,66.67%,6,"$13,747,857",10.68%,-12.98%
Sanders County,55.56%,9,"$10,612,693",17.34%,-3.38%
Sheridan County,100.00%,1,"$380,351",-4.06%,-6.42%
Silver Bow County,77.42%,31,"$37,180,641",7.36%,-27.70%
Stillwater County,66.67%,3,"$992,459",13.71%,-30.28%
Toole County,0.00%,1,"$2,569,372",31.63%,6.39%
Valley County,83.33%,6,"$1,684,688",1.85%,-11.82%
Wheatland County,100.00%,1,"$3,316,171",19.53%,-11.55%
Yellowstone County,65.06%,83,"$105,923,094",9.22%,-6.92%
