Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Lee County,55.00%,20,"$13,157,404",12.91%,-14.15%
Lenoir County,75.00%,20,"$29,574,560",2.64%,-51.29%
Lincoln County,76.92%,13,"$33,099,696",23.44%,-65.69%
Macon County,59.38%,32,"$18,940,919",18.70%,-3.99%
Madison County,66.67%,15,"$12,969,460",8.99%,-16.43%
Martin County,100.00%,7,"$754,527",2.99%,-58.01%
McDowell County,50.00%,16,"$6,067,985",23.57%,-0.42%
Mecklenburg County,65.95%,279,"$559,984,364",7.19%,-8.78%
Mitchell County,84.62%,13,"$9,264,582",5.99%,-17.33%
Montgomery County,100.00%,7,"$3,114,369",6.25%,-49.39%
Moore County,65.85%,41,"$98,973,412",9.14%,-8.12%
Nash County,89.29%,28,"$74,671,403",5.29%,-63.88%
New Hanover County,84.21%,76,"$1,393,084,220",9.23%,-19.78%
Northampton County,75.00%,8,"$43,469,559",-0.01%,-76.86%
Onslow County,75.00%,32,"$52,302,132",14.99%,-41.85%
Orange County,64.94%,77,"$116,417,648",10.62%,-16.53%
Pamlico County,77.78%,9,"$10,236,102",13.55%,-49.57%
Pasquotank County,91.67%,12,"$20,296,771",7.75%,-36.54%
Pender County,71.43%,14,"$7,655,762",10.69%,-25.53%
Perquimans County,100.00%,4,"$520,490",-4.02%,-76.41%
Person County,100.00%,7,"$5,983,748",1.37%,-51.15%
Pitt County,81.63%,49,"$30,837,362",4.76%,-34.53%
Polk County,52.94%,17,"$4,813,914",6.27%,-2.53%
Randolph County,75.00%,24,"$37,792,346",4.88%,-12.26%
Richmond County,50.00%,14,"$3,416,329",16.92%,-4.63%
Robeson County,82.86%,35,"$84,258,707",2.04%,-67.48%
Rockingham County,93.75%,16,"$15,492,591",9.39%,-67.81%
Rowan County,58.73%,63,"$79,418,472",15.02%,-12.50%
Rutherford County,84.44%,45,"$172,391,449",5.79%,-42.06%
Sampson County,100.00%,7,"$4,081,439",-2.57%,-59.06%
Scotland County,75.00%,12,"$13,356,601",5.24%,-14.75%
Stanly County,90.91%,22,"$35,053,953",13.26%,-71.89%
Stokes County,100.00%,12,"$3,133,268",-5.20%,-74.63%
Surry County,63.89%,36,"$26,132,779",20.22%,-23.33%
Swain County,71.43%,7,"$6,019,348",5.45%,-35.15%
Transylvania County,65.52%,29,"$14,032,143",13.36%,-19.32%
Tyrrell County,80.00%,5,"$1,553,442",-4.65%,-60.08%
Union County,83.33%,36,"$64,779,644",7.28%,-40.65%
Vance County,83.33%,18,"$14,654,947",5.17%,-50.65%
Wake County,64.92%,382,"$1,741,277,880",8.66%,-8.36%
Warren County,80.00%,10,"$3,174,458",19.94%,-57.07%
Washington County,66.67%,3,"$768,853",-1.67%,-9.40%
Watauga County,43.90%,41,"$72,105,632",19.89%,1.89%
Wayne County,84.85%,33,"$62,313,287",4.92%,-39.51%
Wilkes County,83.33%,24,"$17,918,383",10.90%,-33.66%
Wilson County,71.88%,32,"$34,991,907",3.78%,-49.73%
Yadkin County,93.33%,15,"$10,980,473",1.92%,-25.79%
Yancey County,53.33%,15,"$1,461,802",17.97%,-8.86%
