Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.32%,353,"$243,650,841",15.01%,-8.79%
Education,64.20%,338,"$1,096,151,340",8.89%,-6.48%
Environment and animals,49.07%,108,"$150,376,764",16.48%,1.37%
Health,68.79%,314,"$831,608,076",8.37%,-13.96%
Hospitals,43.14%,51,"$297,572,365",7.51%,1.49%
Human services,74.00%,"1,104","$2,500,543,236",6.44%,-22.63%
"International, foreign affairs",40.00%,40,"$14,996,430",16.66%,4.51%
Mutual/membership benefit,75.00%,4,"$1,214,334",0.28%,-26.46%
"Public, societal benefit",70.83%,312,"$1,216,837,810",6.45%,-22.43%
Religion-related,43.96%,91,"$41,417,034",15.17%,2.46%
Unclassified,69.33%,789,"$2,389,313,939",6.77%,-13.33%
Universities,60.32%,63,"$2,081,293,959",4.01%,-4.10%
Total,67.56%,"3,567","$10,864,976,128",8.05%,-13.52%
