Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,62.47%,381,"$34,070,813",11.24%,-10.13%
$10M or more,67.03%,185,"$2,001,913,603",5.60%,-5.36%
$1M to $4.9M,69.09%,275,"$234,704,347",8.72%,-12.10%
$500K to $999K,65.00%,180,"$47,070,073",8.53%,-12.22%
$5M to $9.9M,74.70%,83,"$223,349,553",6.14%,-13.78%
Less than $100K,60.56%,71,"$4,268,054",33.93%,-17.93%
Total,65.87%,"1,175","$2,545,376,443",9.03%,-10.71%
