Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",40.91%,22,"$9,399,013",23.95%,4.07%
Education,40.00%,30,"$73,316,270",14.56%,3.07%
Environment and animals,50.00%,16,"$3,792,984",23.12%,2.39%
Health,66.67%,57,"$42,032,889",8.08%,-7.08%
Hospitals,56.52%,23,"$59,581,598",5.77%,-2.86%
Human services,71.05%,152,"$76,436,392",6.99%,-13.11%
"Public, societal benefit",57.58%,33,"$24,904,993",24.88%,-4.47%
Religion-related,30.00%,10,"$2,821,085",16.76%,6.11%
Unclassified,64.41%,118,"$160,654,633",8.51%,-9.64%
Universities,50.00%,4,"$35,081,614",19.92%,5.37%
Total,61.94%,465,"$488,021,471",9.63%,-7.12%
