Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.29%,202,"$132,743,952",14.71%,-13.97%
Education,69.88%,332,"$1,098,867,257",8.76%,-14.69%
Environment and animals,50.68%,73,"$23,114,679",18.46%,-0.06%
Health,73.10%,316,"$553,819,945",6.68%,-23.37%
Hospitals,68.42%,19,"$730,556,540",3.78%,-3.90%
Human services,70.48%,857,"$1,128,928,628",8.34%,-18.91%
"International, foreign affairs",35.29%,17,"$2,759,441",15.80%,7.52%
Mutual/membership benefit,0.00%,1,"$5,900",44.52%,41.92%
"Public, societal benefit",73.56%,174,"$198,893,172",7.49%,-29.50%
Religion-related,50.77%,65,"$36,751,558",12.36%,-0.53%
Unclassified,69.57%,516,"$1,229,196,480",8.35%,-16.09%
Universities,78.26%,23,"$683,469,679",3.04%,-9.32%
Total,69.56%,"2,595","$5,819,107,231",8.60%,-15.76%
