Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Kansas,70.48%,"1,006","$1,137,473,328",7.71%,-12.42%
Allen County,85.71%,7,"$9,129,125",5.28%,-30.40%
Anderson County,100.00%,1,"$2,417,752",1.55%,-6.03%
Atchison County,44.44%,9,"$6,802,708",22.75%,0.98%
Barber County,100.00%,1,"$3,213",-54.79%,-55.51%
Barton County,69.57%,23,"$15,943,532",11.09%,-9.37%
Bourbon County,50.00%,2,"$192,119",43.03%,-7.26%
Brown County,75.00%,8,"$18,500,585",4.80%,-44.97%
Butler County,81.25%,16,"$11,780,324",8.49%,-28.06%
Chase County,50.00%,2,"$111,162",1.69%,-1.66%
Chautauqua County,0.00%,1,"$26,400",15.59%,11.42%
Cherokee County,87.50%,8,"$2,988,708",3.92%,-12.93%
Cheyenne County,100.00%,2,"$2,800,067",5.91%,-5.77%
Clark County,0.00%,1,"$63,671",35.56%,29.71%
Clay County,66.67%,3,"$3,044,088",34.27%,-44.83%
Cloud County,83.33%,6,"$1,725,557",2.88%,-10.87%
Coffey County,100.00%,3,"$3,546,659",-0.03%,-99.98%
Comanche County,100.00%,2,"$242,995",-4.46%,-10.84%
Cowley County,78.57%,14,"$17,681,035",4.96%,-21.77%
Crawford County,76.92%,13,"$42,126,331",9.00%,-34.44%
Decatur County,100.00%,2,"$587,707",7.31%,-42.94%
Dickinson County,62.50%,8,"$838,930",12.81%,-5.60%
Doniphan County,100.00%,1,"$34,393",-3.55%,-10.75%
Douglas County,74.00%,50,"$111,897,151",10.37%,-25.28%
Elk County,100.00%,1,"$166,596",17.17%,-71.64%
Ellis County,88.89%,18,"$28,603,593",1.28%,-35.99%
Ellsworth County,100.00%,2,"$366,654",6.21%,-14.41%
Finney County,75.00%,16,"$13,128,448",9.68%,-23.46%
Ford County,53.85%,13,"$7,532,062",15.06%,-1.44%
Franklin County,72.73%,11,"$19,927,189",3.31%,-22.31%
Geary County,75.00%,8,"$7,494,636",13.76%,-35.41%
Graham County,100.00%,2,"$525,099",9.92%,-43.34%
Gray County,100.00%,2,"$303,642",0.01%,-26.09%
Greeley County,100.00%,1,"$5,387,915",23.84%,-5.64%
Greenwood County,0.00%,1,"$12,400",42.70%,20.62%
Harper County,66.67%,3,"$849,629",26.89%,-4.42%
Harvey County,61.90%,21,"$23,679,415",9.79%,-1.84%
Haskell County,100.00%,2,"$187,249",28.64%,-31.84%
Jackson County,80.00%,5,"$5,166,456",0.05%,-10.43%
Jefferson County,100.00%,3,"$1,318,449",7.22%,-13.69%
Johnson County,57.66%,111,"$98,134,461",11.13%,-2.43%
Kingman County,60.00%,5,"$3,977,445",14.22%,-4.69%
Kiowa County,80.00%,5,"$2,373,732",-4.48%,-23.97%
Labette County,42.86%,7,"$16,175,327",19.99%,18.31%
Leavenworth County,50.00%,18,"$8,490,426",12.65%,-6.36%
Lincoln County,50.00%,2,"$217,259",61.00%,-15.51%
Logan County,100.00%,2,"$425,634",6.88%,-20.16%
Lyon County,78.95%,19,"$43,862,162",7.40%,-29.23%
Marion County,50.00%,8,"$5,196,309",7.80%,-0.86%
Marshall County,60.00%,5,"$5,128,633",-1.30%,-15.98%
McPherson County,66.67%,24,"$22,086,244",5.39%,-5.15%
Miami County,100.00%,5,"$4,826,906",14.33%,-8.51%
Mitchell County,33.33%,3,"$93,224",16.95%,9.54%
Montgomery County,90.00%,10,"$13,020,996",11.25%,-11.98%
Morris County,0.00%,1,"$65,731",21.94%,3.26%
Morton County,100.00%,1,"$100,255",-41.92%,-139.63%
Nemaha County,50.00%,8,"$4,887,372",9.24%,-0.62%
Neosho County,83.33%,6,"$9,149,681",3.88%,-38.68%
Norton County,66.67%,3,"$603,738",1.21%,-2.44%
Osage County,100.00%,1,"$2,092,421",9.42%,-41.06%
Ottawa County,100.00%,2,"$5,363,987",5.12%,-52.95%
Pawnee County,0.00%,3,"$456,770",25.31%,11.64%
Phillips County,75.00%,4,"$951,988",11.34%,-21.24%
Pottawatomie County,70.00%,10,"$9,659,443",12.52%,-9.01%
Pratt County,66.67%,3,"$3,562,095",-2.48%,-8.54%
Rawlins County,100.00%,1,"$235,359",4.25%,-9.37%
Reno County,79.31%,29,"$35,665,924",4.83%,-16.41%
Republic County,33.33%,3,"$1,605,872",16.21%,1.02%
Rice County,83.33%,6,"$2,682,538",1.43%,-19.68%
Riley County,81.82%,33,"$34,074,034",6.55%,-31.97%
Rooks County,100.00%,1,"$909,255",8.25%,-20.67%
Russell County,100.00%,5,"$660,250",5.31%,-15.17%
Saline County,65.52%,29,"$61,278,404",6.24%,-6.78%
Scott County,83.33%,6,"$2,188,277",9.85%,-20.62%
Sedgwick County,66.87%,166,"$184,478,781",5.39%,-13.62%
Seward County,85.71%,7,"$17,516,033",1.20%,-53.20%
Shawnee County,76.47%,85,"$101,222,943",4.18%,-23.92%
Sheridan County,100.00%,1,"$42,544",-40.28%,-129.31%
Sherman County,66.67%,3,"$365,159",12.77%,-17.01%
Smith County,100.00%,2,"$1,832,195",-4.20%,-10.03%
Stafford County,33.33%,3,"$618,408",48.74%,17.73%
Stevens County,50.00%,2,"$78,381",14.67%,-7.77%
Sumner County,100.00%,4,"$1,668,976",-16.92%,-32.37%
Thomas County,75.00%,4,"$8,603,301",6.94%,-30.87%
Trego County,0.00%,1,"$12,000",45.03%,32.59%
Wallace County,50.00%,2,"$612,511",13.58%,-2.45%
Washington County,80.00%,5,"$1,316,748",1.17%,-4.97%
Wichita County,100.00%,2,"$501,221",21.62%,-41.83%
Wilson County,66.67%,3,"$731,055",12.06%,-7.26%
Wyandotte County,75.56%,45,"$50,537,276",6.80%,-20.77%
