Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
California,66.00%,"11,034","$45,354,435,566",8.89%,-13.44%
10th Congressional district,58.70%,184,"$254,774,451",12.04%,-5.45%
11th Congressional district,70.31%,852,"$3,231,031,761",9.06%,-15.62%
12th Congressional district,62.61%,765,"$2,981,782,878",10.28%,-10.49%
13th Congressional district,73.33%,60,"$199,357,365",11.39%,-14.92%
14th Congressional district,68.46%,130,"$204,907,892",11.16%,-25.26%
15th Congressional district,66.80%,256,"$2,001,734,940",9.91%,-16.33%
16th Congressional district,57.88%,273,"$762,739,222",11.66%,-3.00%
17th Congressional district,58.43%,166,"$586,634,854",11.83%,-6.17%
18th Congressional district,73.97%,219,"$655,302,646",9.13%,-23.14%
19th Congressional district,62.12%,264,"$833,307,328",11.97%,-8.17%
1st Congressional district,81.33%,225,"$856,478,141",6.98%,-51.98%
20th Congressional district,66.10%,118,"$369,504,306",8.10%,-11.59%
21st Congressional district,66.88%,154,"$1,056,153,887",8.44%,-21.58%
22nd Congressional district,77.19%,57,"$322,152,471",7.48%,-37.94%
23rd Congressional district,70.19%,104,"$1,110,617,330",9.62%,-34.14%
24th Congressional district,59.40%,367,"$857,042,693",11.45%,-7.09%
25th Congressional district,74.67%,75,"$187,353,153",9.70%,-19.76%
26th Congressional district,68.33%,180,"$526,291,824",6.49%,-15.83%
27th Congressional district,65.12%,86,"$567,834,134",7.60%,-28.45%
28th Congressional district,66.26%,243,"$1,433,147,656",8.13%,-9.53%
29th Congressional district,64.04%,114,"$485,344,165",9.55%,-10.16%
2nd Congressional district,65.28%,553,"$946,480,268",9.78%,-12.81%
30th Congressional district,58.75%,303,"$934,004,998",11.14%,-5.40%
31st Congressional district,74.24%,132,"$2,297,678,748",0.84%,-42.02%
32nd Congressional district,56.34%,213,"$1,601,921,192",8.15%,-5.64%
33rd Congressional district,69.23%,91,"$311,866,877",10.70%,-41.77%
34th Congressional district,71.53%,404,"$2,276,210,215",8.50%,-19.56%
35th Congressional district,61.00%,100,"$757,113,795",9.10%,-7.97%
36th Congressional district,64.87%,316,"$1,041,563,939",7.16%,-13.18%
37th Congressional district,68.06%,288,"$3,055,152,488",6.94%,-22.87%
38th Congressional district,59.02%,61,"$220,553,881",4.22%,-4.81%
39th Congressional district,70.11%,87,"$251,487,380",6.44%,-22.37%
3rd Congressional district,64.55%,268,"$446,959,961",7.21%,-11.69%
40th Congressional district,53.33%,120,"$177,342,067",13.18%,-2.07%
41st Congressional district,55.17%,116,"$171,775,995",10.97%,-2.20%
42nd Congressional district,81.95%,266,"$420,582,575",3.10%,-58.01%
43rd Congressional district,74.42%,86,"$343,266,682",8.41%,-18.97%
44th Congressional district,70.19%,104,"$402,434,486",6.99%,-18.35%
45th Congressional district,49.44%,89,"$159,182,699",11.42%,0.22%
46th Congressional district,66.67%,165,"$931,855,158",8.64%,-14.51%
47th Congressional district,51.69%,207,"$339,895,316",14.30%,-1.51%
48th Congressional district,62.81%,121,"$463,685,295",11.81%,-11.22%
49th Congressional district,61.44%,153,"$230,107,101",8.75%,-6.15%
4th Congressional district,70.17%,295,"$815,745,054",7.84%,-16.93%
50th Congressional district,61.40%,329,"$1,143,385,663",10.75%,-7.37%
51st Congressional district,62.18%,238,"$1,781,377,311",4.98%,-10.76%
52nd Congressional district,71.93%,114,"$650,156,266",7.93%,-15.87%
5th Congressional district,74.07%,189,"$523,986,721",6.34%,-22.86%
6th Congressional district,72.86%,210,"$1,459,200,282",6.43%,-42.36%
7th Congressional district,65.54%,267,"$885,857,905",10.26%,-19.10%
8th Congressional district,66.67%,159,"$226,423,712",7.60%,-16.70%
9th Congressional district,76.53%,98,"$603,688,439",7.53%,-25.13%
