Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",45.33%,75,"$19,532,632",13.13%,3.18%
Education,69.05%,84,"$35,716,156",8.54%,-12.47%
Environment and animals,52.17%,46,"$21,946,202",15.92%,-2.49%
Health,71.26%,87,"$108,408,058",9.77%,-20.60%
Hospitals,71.43%,7,"$46,327,437",0.55%,-1.60%
Human services,70.67%,208,"$166,135,447",7.45%,-11.56%
"International, foreign affairs",85.71%,7,"$10,089,443",2.11%,-47.00%
"Public, societal benefit",72.00%,50,"$66,644,008",5.13%,-32.17%
Religion-related,50.00%,2,"$732,941",34.96%,-3.96%
Unclassified,71.36%,206,"$246,029,402",5.99%,-12.49%
Universities,62.50%,8,"$48,153,876",3.39%,-4.52%
Total,67.31%,780,"$769,715,602",7.99%,-9.68%
