Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",61.74%,264,"$144,608,352",14.96%,-8.47%
Education,52.54%,394,"$454,708,940",12.83%,-1.53%
Environment and animals,56.50%,177,"$248,996,204",14.32%,-4.64%
Health,60.00%,230,"$328,498,239",11.49%,-8.09%
Hospitals,30.00%,10,"$24,761,596",3.31%,1.33%
Human services,64.08%,824,"$705,192,126",9.56%,-10.11%
"International, foreign affairs",41.67%,36,"$6,137,505",16.97%,4.76%
Mutual/membership benefit,100.00%,1,"$125,213",43.79%,-50.63%
"Public, societal benefit",61.33%,225,"$1,047,264,817",12.12%,-10.97%
Religion-related,46.03%,63,"$32,906,480",10.80%,0.69%
Unclassified,63.14%,472,"$755,253,394",9.98%,-6.74%
Universities,75.00%,8,"$39,141,592",3.89%,-3.48%
Total,60.13%,"2,704","$3,787,594,458",11.37%,-6.75%
