Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",70.42%,71,"$27,197,229",9.79%,-16.79%
Education,64.81%,54,"$45,585,895",8.40%,-14.25%
Environment and animals,44.83%,29,"$33,495,725",16.78%,3.24%
Health,75.00%,84,"$199,249,652",5.43%,-15.60%
Hospitals,28.57%,28,"$73,091,357",10.10%,2.82%
Human services,67.92%,240,"$214,273,996",6.35%,-16.68%
"International, foreign affairs",60.00%,5,"$1,242,182",19.30%,-16.86%
"Public, societal benefit",57.75%,71,"$136,363,528",17.36%,-8.17%
Religion-related,66.67%,12,"$2,124,363",4.92%,-12.39%
Unclassified,69.27%,179,"$243,699,306",6.07%,-8.01%
Universities,61.54%,13,"$78,583,016",8.21%,-1.35%
Total,65.65%,786,"$1,054,906,249",7.72%,-11.33%
