Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,60.41%,"2,900","$319,332,050",12.17%,-7.87%
$10M or more,70.31%,"1,603","$38,179,939,110",5.33%,-18.48%
$1M to $4.9M,67.42%,"3,413","$3,370,750,954",8.74%,-15.69%
$500K to $999K,67.09%,"1,817","$473,774,140",8.97%,-13.55%
$5M to $9.9M,71.24%,925,"$2,984,644,183",7.71%,-20.67%
Less than $100K,59.57%,376,"$25,995,129",24.49%,-11.12%
Total,66.00%,"11,034","$45,354,435,566",8.89%,-13.44%
