Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.14%,175,"$21,102,778",8.80%,-20.14%
$10M or more,92.98%,57,"$1,714,203,704",4.56%,-31.20%
$1M to $4.9M,83.43%,169,"$193,856,306",6.73%,-36.51%
$500K to $999K,74.77%,111,"$37,143,832",7.68%,-29.20%
$5M to $9.9M,90.24%,41,"$150,078,822",4.03%,-42.61%
Less than $100K,67.74%,31,"$1,584,327",20.10%,-19.11%
Total,79.28%,584,"$2,117,969,769",7.18%,-29.01%
