Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.79%,39,"$16,499,349",8.83%,-21.12%
Education,66.67%,33,"$27,192,688",15.03%,-30.77%
Environment and animals,51.61%,31,"$7,559,689",15.26%,-0.53%
Health,72.73%,66,"$126,089,622",8.84%,-13.90%
Hospitals,56.25%,16,"$44,950,168",5.29%,-1.41%
Human services,80.43%,327,"$198,556,315",9.13%,-40.59%
"Public, societal benefit",84.13%,63,"$140,390,718",1.06%,-38.87%
Religion-related,71.43%,7,"$2,701,765",2.96%,-2.00%
Unclassified,78.30%,235,"$556,501,961",7.56%,-22.50%
Universities,75.00%,8,"$18,446,604",2.76%,-10.50%
Total,76.85%,825,"$1,138,888,879",8.69%,-27.83%
