Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",59.15%,71,"$44,984,742",15.92%,-6.43%
Education,77.11%,83,"$201,783,799",3.98%,-30.30%
Environment and animals,60.87%,23,"$12,520,183",4.67%,-4.93%
Health,75.34%,73,"$135,697,374",9.83%,-16.44%
Hospitals,44.44%,9,"$14,157,294",9.22%,1.48%
Human services,75.91%,328,"$269,457,826",4.73%,-33.52%
"International, foreign affairs",54.55%,11,"$2,286,823",3.34%,-4.19%
"Public, societal benefit",72.13%,61,"$33,046,624",10.75%,-23.57%
Religion-related,52.00%,25,"$66,670,675",12.96%,-0.12%
Unclassified,78.05%,246,"$814,989,581",4.88%,-23.53%
Universities,58.33%,12,"$70,548,249",7.75%,-5.78%
Total,73.25%,942,"$1,666,143,170",5.87%,-20.73%
