Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",36.84%,38,"$6,009,350",20.71%,5.94%
Education,84.95%,93,"$263,046,001",10.59%,-82.30%
Environment and animals,48.89%,45,"$12,890,766",17.00%,0.54%
Health,67.57%,37,"$48,871,716",19.04%,-21.42%
Hospitals,46.15%,13,"$53,911,137",3.47%,0.21%
Human services,57.03%,128,"$72,386,929",14.51%,-5.78%
"International, foreign affairs",14.29%,7,"$7,480,498",23.98%,20.62%
"Public, societal benefit",66.67%,33,"$13,751,942",8.33%,-23.67%
Religion-related,27.27%,11,"$739,438",23.54%,13.92%
Unclassified,68.75%,96,"$221,367,700",7.18%,-15.29%
Universities,66.67%,3,"$31,585,411",-0.80%,-14.74%
Total,62.10%,504,"$732,040,888",11.87%,-10.04%
