Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Utah,72.16%,740,"$1,707,651,166",9.68%,-23.91%
Box Elder County,100.00%,6,"$6,366,119",-8.48%,-83.00%
Cache County,74.19%,31,"$60,603,482",11.68%,-20.97%
Carbon County,100.00%,8,"$20,921,831",8.09%,-67.28%
Davis County,74.36%,39,"$140,572,289",9.64%,-17.68%
Duchesne County,50.00%,2,"$2,080,847",5.87%,-43.81%
Emery County,75.00%,4,"$2,616,748",24.85%,-37.78%
Garfield County,0.00%,1,"$101,786",27.05%,10.72%
Grand County,61.11%,18,"$9,590,593",18.01%,-10.63%
Iron County,100.00%,9,"$15,051,685",3.85%,-82.86%
Juab County,0.00%,1,"$3,175,040",10.96%,5.59%
Kane County,50.00%,2,"$364,465",6.86%,-4.66%
Salt Lake County,69.54%,371,"$912,118,331",9.32%,-22.61%
San Juan County,100.00%,5,"$30,069,443",11.07%,-53.04%
Sanpete County,42.86%,7,"$1,918,389",28.74%,1.16%
Sevier County,80.00%,5,"$3,891,632",12.01%,-33.79%
Summit County,55.00%,40,"$35,386,069",14.11%,-3.43%
Tooele County,75.00%,4,"$21,128,522",15.11%,-47.46%
Uintah County,100.00%,2,"$7,085,622",8.17%,-86.33%
Utah County,78.82%,85,"$224,713,476",8.55%,-41.91%
Wasatch County,100.00%,6,"$3,267,319",8.21%,-29.97%
Washington County,76.47%,34,"$79,230,862",8.99%,-44.24%
Wayne County,33.33%,3,"$3,520,279",46.69%,35.16%
Weber County,80.70%,57,"$123,876,337",8.68%,-35.78%
