Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Idaho,62.10%,504,"$732,040,888",11.87%,-10.04%
Ada County,61.71%,175,"$304,609,858",9.73%,-7.43%
Adams County,100.00%,1,"$2,432,868",15.47%,-28.92%
Bannock County,72.73%,22,"$26,442,534",13.40%,-11.09%
Benewah County,50.00%,2,"$4,454,019",24.33%,8.16%
Bingham County,66.67%,12,"$14,080,214",4.37%,-56.73%
Blaine County,40.74%,27,"$5,924,703",24.34%,10.08%
Boise County,100.00%,1,"$48,005",-3.82%,-102.43%
Bonner County,50.00%,18,"$22,140,427",21.46%,-1.98%
Bonneville County,73.91%,23,"$35,334,777",7.29%,-39.78%
Boundary County,75.00%,4,"$554,835",10.50%,-13.27%
Butte County,0.00%,1,"$9,128",23.54%,20.10%
Camas County,0.00%,1,"$16,336",23.54%,17.58%
Canyon County,67.74%,31,"$115,595,069",13.58%,-40.46%
Caribou County,33.33%,3,"$18,547,774",57.90%,1.95%
Cassia County,0.00%,1,"$17,395",17.54%,10.72%
Clearwater County,66.67%,3,"$3,138,823",-7.30%,-66.65%
Custer County,0.00%,2,"$11,887",24.69%,21.31%
Elmore County,50.00%,4,"$5,465,733",23.17%,-8.16%
Franklin County,100.00%,2,"$2,319,133",-20.92%,-90.34%
Fremont County,100.00%,5,"$5,751,117",1.10%,-21.48%
Gem County,100.00%,3,"$3,039,061",9.67%,-9.84%
Gooding County,33.33%,3,"$4,110,971",13.42%,1.40%
Idaho County,25.00%,4,"$2,690,257",20.43%,14.81%
Jefferson County,100.00%,1,"$1,148,061",45.80%,-46.60%
Jerome County,66.67%,3,"$2,484,384",6.47%,-9.64%
Kootenai County,61.90%,42,"$37,563,780",15.07%,-16.50%
Latah County,53.57%,28,"$30,776,976",10.46%,-0.80%
Lemhi County,70.00%,10,"$2,572,303",16.70%,-16.00%
Lewis County,100.00%,1,"$177,499",-45.23%,-113.23%
Madison County,50.00%,2,"$620,913",1.13%,-38.52%
Minidoka County,50.00%,2,"$139,154",16.56%,-1.92%
Nez Perce County,46.15%,13,"$18,899,557",13.90%,4.92%
Oneida County,100.00%,1,"$338,969",8.42%,-51.02%
Owyhee County,100.00%,2,"$657,006",19.43%,-21.71%
Payette County,100.00%,4,"$25,740,152",1.65%,-63.38%
Shoshone County,33.33%,3,"$248,206",17.28%,0.24%
Teton County,33.33%,12,"$2,856,110",34.44%,12.94%
Twin Falls County,95.83%,24,"$29,821,217",6.44%,-35.23%
Valley County,40.00%,5,"$169,654",4.29%,1.96%
Washington County,100.00%,3,"$1,092,023",-0.24%,-65.92%
