Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Nevada,73.95%,522,"$1,272,362,902",7.01%,-23.97%
Carson City,72.73%,22,"$49,229,021",8.32%,-20.38%
Churchill County,70.00%,10,"$11,008,779",10.13%,-26.17%
Clark County,71.69%,272,"$744,531,570",6.59%,-21.91%
Douglas County,71.43%,14,"$35,871,942",22.89%,-24.02%
Elko County,85.71%,14,"$8,305,072",-2.35%,-63.97%
Esmeralda County,0.00%,1,"$516,054",21.26%,7.27%
Humboldt County,100.00%,4,"$1,617,147",2.20%,-50.42%
Lincoln County,50.00%,2,"$143,816",3.15%,-5.50%
Lyon County,80.00%,5,"$7,036,488",12.74%,-4.16%
Mineral County,100.00%,2,"$360,315",-0.44%,-54.68%
Nye County,100.00%,6,"$5,907,868",15.05%,-57.93%
Pershing County,33.33%,3,"$590,901",29.73%,26.56%
Storey County,83.33%,6,"$18,066,978",17.19%,-40.47%
Washoe County,75.97%,154,"$381,909,324",6.25%,-23.97%
White Pine County,85.71%,7,"$7,267,627",25.36%,-13.92%
