Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.64%,683,"$82,690,523",9.51%,-14.79%
$10M or more,63.41%,287,"$4,305,247,723",6.75%,-6.89%
$1M to $4.9M,66.33%,591,"$471,241,756",9.80%,-10.96%
$500K to $999K,68.35%,417,"$113,432,762",10.12%,-14.88%
$5M to $9.9M,69.02%,184,"$503,626,898",7.76%,-13.58%
Less than $100K,63.08%,65,"$3,147,222",16.92%,-19.27%
Total,66.86%,"2,227","$5,479,386,884",8.99%,-12.56%
