Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Oregon,67.80%,"2,031","$3,750,044,525",11.42%,-14.21%
Baker County,63.64%,11,"$8,370,965",15.89%,-20.20%
Benton County,65.62%,64,"$55,757,054",11.66%,-8.19%
Clackamas County,61.21%,116,"$173,486,015",11.09%,-8.51%
Clatsop County,52.50%,40,"$23,288,560",22.88%,-2.48%
Columbia County,94.44%,18,"$44,485,048",4.95%,-70.49%
Coos County,68.00%,25,"$52,422,238",11.80%,-18.72%
Crook County,57.14%,14,"$28,687,031",8.18%,-4.45%
Curry County,81.82%,11,"$5,410,093",13.95%,-53.98%
Deschutes County,51.49%,101,"$133,882,516",17.61%,-1.02%
Douglas County,69.44%,36,"$60,140,468",9.45%,-18.72%
Gilliam County,100.00%,2,"$315,755",-132.37%,-194.39%
Grant County,100.00%,7,"$10,765,931",-5.48%,-92.54%
Harney County,66.67%,6,"$4,372,807",15.61%,-60.62%
Hood River County,60.00%,15,"$28,280,811",11.70%,-12.54%
Jackson County,78.07%,114,"$201,431,545",3.38%,-40.14%
Jefferson County,25.00%,4,"$385,327",13.50%,5.56%
Josephine County,61.29%,31,"$18,330,667",8.56%,-6.31%
Klamath County,76.32%,38,"$57,286,714",19.25%,-24.20%
Lake County,100.00%,9,"$2,649,730",4.89%,-53.13%
Lane County,70.26%,195,"$277,672,391",13.36%,-14.74%
Lincoln County,84.00%,25,"$20,749,964",20.48%,-33.66%
Linn County,70.27%,37,"$70,319,392",13.59%,-13.48%
Malheur County,60.00%,15,"$16,028,756",11.78%,-34.47%
Marion County,70.80%,113,"$251,036,607",12.00%,-11.41%
Morrow County,66.67%,6,"$4,286,253",-4.04%,-43.24%
Multnomah County,70.49%,654,"$1,760,446,998",11.41%,-15.72%
Polk County,60.87%,23,"$15,333,534",8.65%,-4.28%
Sherman County,100.00%,1,"$6,200",-39.52%,-52.67%
Tillamook County,71.43%,21,"$10,156,968",4.20%,-18.03%
Umatilla County,55.17%,29,"$51,354,731",11.02%,-4.65%
Union County,85.71%,14,"$28,047,222",8.74%,-28.67%
Wallowa County,66.67%,9,"$11,722,771",19.09%,-24.27%
Wasco County,66.67%,18,"$19,047,794",9.60%,-35.26%
Washington County,61.63%,172,"$265,052,225",9.47%,-6.98%
Wheeler County,100.00%,1,"$1,488,103",10.84%,-50.49%
Yamhill County,50.00%,36,"$37,545,341",11.98%,-0.10%
