Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Wisconsin,63.28%,"2,236","$3,244,523,606",10.10%,-8.12%
Adams County,0.00%,1,"$3,926,899",20.23%,5.18%
Ashland County,75.00%,16,"$20,166,325",11.01%,-23.63%
Barron County,58.33%,12,"$6,511,662",19.73%,-17.51%
Bayfield County,42.86%,7,"$15,991,358",21.17%,8.42%
Brown County,59.04%,83,"$107,180,193",12.91%,-4.80%
Buffalo County,0.00%,1,"$8,000",29.25%,18.11%
Burnett County,85.71%,7,"$2,389,006",-2.49%,-28.68%
Calumet County,50.00%,4,"$493,998",14.63%,5.91%
Chippewa County,53.85%,13,"$4,353,584",5.65%,-6.68%
Clark County,14.29%,7,"$366,944",20.78%,16.20%
Columbia County,58.33%,12,"$22,096,316",9.83%,-4.25%
Crawford County,50.00%,6,"$5,293,386",13.92%,1.52%
Dane County,63.61%,415,"$555,157,326",11.05%,-8.25%
Dodge County,66.67%,24,"$11,130,682",9.01%,-3.93%
Door County,50.00%,32,"$9,059,577",22.36%,0.78%
Douglas County,93.10%,29,"$25,304,128",0.97%,-54.73%
Dunn County,76.47%,17,"$15,256,893",4.95%,-19.28%
Eau Claire County,69.05%,42,"$18,591,539",10.36%,-6.35%
Florence County,0.00%,1,"$2,020",25.31%,21.73%
Fond du Lac County,58.97%,39,"$334,647,062",10.59%,-5.34%
Forest County,0.00%,1,"$66,427",10.88%,2.22%
Grant County,66.67%,15,"$15,775,279",3.71%,-12.01%
Green County,80.00%,15,"$4,089,279",10.46%,-8.68%
Green Lake County,44.44%,9,"$2,579,535",18.61%,10.60%
Iowa County,70.00%,20,"$18,012,560",14.76%,-15.56%
Iron County,50.00%,2,"$226,740",3.37%,-47.18%
Jackson County,50.00%,6,"$6,281,889",12.09%,1.29%
Jefferson County,44.44%,18,"$12,351,718",18.63%,2.40%
Juneau County,60.00%,5,"$2,373,410",6.55%,-1.51%
Kenosha County,62.07%,29,"$36,383,662",11.27%,-7.65%
Kewaunee County,60.00%,5,"$186,738",-11.82%,-21.69%
La Crosse County,63.64%,55,"$46,599,117",7.12%,-9.88%
Lafayette County,66.67%,3,"$301,829",9.67%,-13.60%
Langlade County,50.00%,6,"$3,411,975",18.28%,-4.08%
Lincoln County,100.00%,2,"$507,757",10.44%,-28.52%
Manitowoc County,62.07%,29,"$10,024,466",10.16%,-12.51%
Marathon County,62.75%,51,"$42,555,500",5.06%,-8.87%
Marinette County,60.00%,15,"$2,082,996",11.51%,-11.22%
Menominee County,100.00%,3,"$11,619,031",6.66%,-76.63%
Milwaukee County,70.71%,437,"$1,095,017,018",7.73%,-16.57%
Monroe County,64.29%,14,"$19,831,316",8.05%,-3.27%
Oconto County,66.67%,9,"$33,820,471",4.94%,-18.31%
Oneida County,66.67%,18,"$8,236,068",10.19%,-7.12%
Outagamie County,58.21%,67,"$59,849,759",7.70%,-4.69%
Ozaukee County,63.64%,33,"$26,179,129",12.18%,-7.42%
Pepin County,0.00%,1,"$218,178",5.44%,4.22%
Pierce County,71.43%,7,"$1,960,910",10.87%,-7.86%
Polk County,69.23%,13,"$10,436,884",4.37%,-8.40%
Portage County,59.26%,27,"$21,748,939",11.28%,-0.49%
Price County,0.00%,1,"$546,408",41.99%,40.49%
Racine County,70.21%,47,"$35,276,634",8.52%,-17.24%
Richland County,50.00%,4,"$6,808,413",10.82%,-26.11%
Rock County,54.90%,51,"$53,002,559",16.47%,-3.57%
Rusk County,100.00%,2,"$6,069,065",-4.31%,-83.61%
Sauk County,36.84%,19,"$6,452,130",7.22%,3.81%
Sawyer County,58.82%,17,"$29,615,889",13.34%,-31.82%
Shawano County,87.50%,8,"$1,607,319",-1.47%,-29.43%
Sheboygan County,56.00%,50,"$33,133,510",13.66%,-3.53%
St. Croix County,53.85%,26,"$23,910,445",10.42%,-0.16%
Taylor County,44.44%,9,"$4,943,555",16.89%,5.65%
Trempealeau County,75.00%,4,"$19,557,642",2.77%,-2.45%
Vernon County,63.16%,19,"$13,433,563",9.10%,-2.67%
Vilas County,42.86%,7,"$13,916,033",29.85%,9.58%
Walworth County,56.00%,25,"$7,214,488",5.68%,-11.73%
Washburn County,66.67%,9,"$2,239,318",0.16%,-44.65%
Washington County,60.00%,20,"$11,020,704",12.47%,-5.75%
Waukesha County,60.80%,125,"$101,961,258",9.77%,-6.19%
Waupaca County,61.90%,21,"$3,665,892",11.22%,-3.93%
Waushara County,71.43%,7,"$8,673,092",-1.69%,-14.21%
Winnebago County,48.15%,54,"$84,991,840",14.09%,1.06%
Wood County,67.86%,28,"$125,828,371",7.02%,-8.62%
