Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,64.93%,"1,594","$172,429,470",11.79%,-10.44%
$10M or more,67.40%,678,"$16,228,755,230",5.22%,-11.30%
$1M to $4.9M,65.97%,"1,346","$1,125,052,820",8.15%,-11.71%
$500K to $999K,66.55%,831,"$219,567,033",9.64%,-11.16%
$5M to $9.9M,69.89%,362,"$1,029,183,451",6.95%,-18.14%
Less than $100K,62.16%,222,"$11,355,494",18.59%,-15.04%
Total,66.04%,"5,033","$18,786,343,498",9.15%,-11.74%
