Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",57.97%,295,"$148,364,002",17.98%,-5.37%
Education,57.58%,264,"$228,247,311",12.10%,-4.98%
Environment and animals,52.00%,175,"$434,689,856",19.34%,-1.00%
Health,71.21%,198,"$1,142,377,684",11.82%,-12.43%
Hospitals,78.95%,19,"$669,405,927",-1.00%,-5.34%
Human services,70.35%,887,"$1,445,630,097",9.16%,-14.96%
"International, foreign affairs",61.90%,42,"$630,719,319",4.41%,-8.38%
"Public, societal benefit",69.88%,249,"$241,061,839",8.96%,-24.01%
Religion-related,48.15%,54,"$25,555,629",14.93%,1.83%
Unclassified,71.47%,631,"$1,774,728,606",8.85%,-13.65%
Universities,45.00%,20,"$83,597,543",9.94%,1.75%
Total,66.34%,"2,834","$6,824,377,813",10.50%,-10.68%
