Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",53.49%,129,"$119,751,982",19.61%,-2.53%
Education,81.18%,356,"$1,301,502,957",6.18%,-37.77%
Environment and animals,52.38%,63,"$82,390,466",14.71%,-1.83%
Health,60.45%,134,"$500,054,482",8.76%,-6.31%
Hospitals,53.33%,15,"$271,818,547",8.52%,-3.00%
Human services,61.62%,396,"$532,909,319",9.92%,-10.99%
"International, foreign affairs",58.33%,12,"$85,523,236",6.34%,-2.50%
"Public, societal benefit",60.40%,101,"$107,650,387",10.45%,-11.44%
Religion-related,70.59%,34,"$31,982,868",12.22%,-4.04%
Unclassified,69.55%,266,"$1,390,521,218",6.24%,-13.50%
Universities,66.67%,6,"$43,584,065",8.28%,-2.81%
Total,66.47%,"1,512","$4,467,689,527",8.49%,-12.82%
