Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Connecticut,71.27%,"1,664","$4,152,416,917",6.56%,-16.08%
Capitol Planning Region,74.39%,449,"$904,769,122",5.72%,-17.31%
Greater Bridgeport Planning Region,77.59%,116,"$726,874,044",5.39%,-16.84%
Lower Connecticut River Valley Planning Region,65.96%,94,"$194,190,989",6.93%,-11.75%
Naugatuck Valley Planning Region,78.12%,128,"$242,640,423",3.48%,-23.82%
Northeastern Connecticut Planning Region,91.67%,24,"$63,662,658",0.58%,-35.87%
Northwest Hills Planning Region,59.41%,101,"$63,401,514",14.74%,-7.90%
South Central Connecticut Planning Region,71.48%,298,"$1,361,870,701",7.14%,-19.70%
Southeastern Connecticut Planning Region,72.46%,138,"$272,765,308",5.70%,-27.84%
Western Connecticut Planning Region,64.87%,316,"$322,242,158",8.38%,-9.43%
