Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.01%,"2,113","$238,736,182",12.67%,-16.74%
$10M or more,67.18%,902,"$10,531,357,240",4.42%,-6.15%
$1M to $4.9M,67.14%,"1,467","$1,201,246,665",9.47%,-11.29%
$500K to $999K,66.21%,941,"$235,582,995",9.74%,-13.41%
$5M to $9.9M,68.78%,442,"$1,145,654,281",8.38%,-10.61%
Less than $100K,58.97%,429,"$19,534,153",27.53%,-7.63%
Total,66.86%,"6,294","$13,372,111,516",9.60%,-11.47%
