Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Ohio,71.55%,"4,116","$18,034,216,002",7.12%,-17.86%
10th Congressional district,68.09%,257,"$521,010,391",7.93%,-14.50%
11th Congressional district,73.12%,480,"$1,711,728,564",8.58%,-16.97%
12th Congressional district,67.84%,227,"$297,050,628",8.70%,-13.83%
13th Congressional district,74.66%,296,"$501,319,645",6.11%,-23.45%
14th Congressional district,67.52%,157,"$189,880,505",9.72%,-14.97%
15th Congressional district,76.21%,227,"$458,292,948",6.19%,-20.76%
1st Congressional district,62.27%,379,"$980,356,802",8.65%,-10.16%
2nd Congressional district,62.43%,173,"$341,304,227",8.74%,-10.37%
3rd Congressional district,85.51%,573,"$10,914,617,795",1.98%,-58.65%
4th Congressional district,70.90%,299,"$330,526,597",5.61%,-21.67%
5th Congressional district,68.18%,220,"$187,580,442",10.92%,-10.67%
6th Congressional district,66.81%,226,"$317,921,485",9.11%,-9.95%
7th Congressional district,65.81%,155,"$512,540,911",10.70%,-9.27%
8th Congressional district,64.71%,136,"$102,354,255",10.17%,-7.20%
9th Congressional district,73.31%,311,"$667,730,807",5.61%,-19.54%
