Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.57%,286,"$40,247,695",8.37%,-35.75%
$10M or more,72.28%,101,"$700,034,016",3.59%,-8.61%
$1M to $4.9M,79.62%,211,"$251,901,081",9.05%,-25.06%
$500K to $999K,76.86%,121,"$47,262,071",9.18%,-33.46%
$5M to $9.9M,76.47%,34,"$93,968,934",10.00%,-14.59%
Less than $100K,76.39%,72,"$5,475,082",27.23%,-32.93%
Total,76.85%,825,"$1,138,888,879",8.69%,-27.83%
