Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,75.47%,159,"$29,939,763",7.82%,-35.62%
$10M or more,70.00%,50,"$886,708,220",5.43%,-13.23%
$1M to $4.9M,71.07%,159,"$168,514,862",14.24%,-31.29%
$500K to $999K,76.34%,93,"$40,020,556",13.41%,-30.20%
$5M to $9.9M,84.62%,39,"$148,811,089",5.63%,-36.23%
Less than $100K,60.71%,28,"$2,152,205",11.26%,-23.55%
Total,73.67%,528,"$1,276,146,695",9.98%,-27.86%
