Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",64.48%,259,"$139,358,739",14.30%,-7.04%
Education,74.57%,464,"$1,438,849,303",6.01%,-29.20%
Environment and animals,45.74%,129,"$82,513,231",20.06%,2.08%
Health,70.42%,284,"$460,928,747",6.79%,-16.62%
Hospitals,46.88%,32,"$356,235,834",11.92%,0.86%
Human services,73.70%,"1,232","$896,943,620",8.45%,-33.09%
"International, foreign affairs",68.42%,19,"$716,843,196",4.58%,-12.08%
Mutual/membership benefit,100.00%,3,"$1,222,609",11.21%,-25.91%
"Public, societal benefit",66.36%,217,"$1,594,629,808",10.30%,-19.06%
Religion-related,49.41%,85,"$81,234,925",15.73%,0.53%
Unclassified,71.68%,625,"$1,095,878,699",8.20%,-21.48%
Universities,60.00%,40,"$2,004,347,798",10.57%,-4.35%
Total,69.90%,"3,389","$8,868,986,509",8.92%,-19.92%
