Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Georgia,66.86%,"2,227","$5,479,386,884",8.99%,-12.56%
Appling County,100.00%,2,"$298,237",-1.37%,-34.19%
Bacon County,100.00%,1,"$5,197,555",1.20%,-9.37%
Baldwin County,66.67%,9,"$7,630,334",20.25%,-42.67%
Banks County,100.00%,1,"$47,750",-74.38%,-105.51%
Barrow County,37.50%,8,"$1,565,971",12.57%,2.87%
Bartow County,66.67%,12,"$31,160,209",8.98%,-22.62%
Ben Hill County,0.00%,1,"$10,000",27.16%,21.52%
Berrien County,100.00%,1,"$146,383",18.48%,-33.04%
Bibb County,61.97%,71,"$169,439,844",9.50%,-6.89%
Brantley County,0.00%,1,"$23,239",16.43%,13.03%
Brooks County,0.00%,1,"$1,826,029",62.17%,47.74%
Bryan County,0.00%,1,"$30,712",86.61%,81.47%
Bulloch County,70.00%,20,"$12,694,544",7.49%,-5.74%
Burke County,0.00%,1,"$103,239",19.10%,13.37%
Butts County,100.00%,1,"$9,326,362",7.02%,-92.90%
Camden County,62.50%,8,"$1,678,831",12.52%,-35.35%
Carroll County,68.75%,16,"$13,262,867",12.33%,-6.38%
Catoosa County,75.00%,8,"$4,524,498",14.14%,-49.67%
Chatham County,74.44%,90,"$88,996,559",10.49%,-16.72%
Chattooga County,100.00%,2,"$65,045",3.63%,-3.77%
Cherokee County,77.78%,27,"$27,148,394",8.14%,-11.64%
Clarke County,71.74%,46,"$264,451,084",11.00%,-21.39%
Clayton County,73.91%,23,"$60,852,188",6.93%,-16.95%
Cobb County,61.95%,113,"$135,578,636",9.75%,-6.53%
Coffee County,100.00%,3,"$12,321,607",5.68%,-3.46%
Colquitt County,50.00%,10,"$38,527,971",14.20%,-5.06%
Columbia County,50.00%,8,"$8,878,447",18.43%,-12.08%
Cook County,0.00%,1,"$55,840",36.38%,21.99%
Coweta County,61.11%,18,"$17,006,605",16.12%,-5.63%
Crisp County,80.00%,5,"$17,450,614",12.49%,-54.47%
Dade County,75.00%,4,"$8,908,909",4.39%,-41.88%
Dawson County,40.00%,5,"$766,746",13.11%,2.73%
DeKalb County,64.20%,243,"$1,346,207,168",9.36%,-10.33%
Decatur County,60.00%,5,"$277,860",3.50%,-8.84%
Dodge County,100.00%,1,"$101,805",-0.99%,-66.62%
Dougherty County,78.38%,37,"$56,778,079",7.70%,-30.81%
Douglas County,73.33%,15,"$7,327,139",11.32%,-30.92%
Early County,100.00%,3,"$5,375,422",4.36%,-78.51%
Effingham County,100.00%,5,"$9,887,193",-5.30%,-20.54%
Emanuel County,100.00%,4,"$12,838,354",7.90%,-45.88%
Evans County,100.00%,1,"$1,009,000",5.10%,-0.16%
Fannin County,71.43%,7,"$4,551,672",6.31%,-10.62%
Fayette County,69.23%,26,"$14,785,634",7.73%,-14.19%
Floyd County,70.97%,31,"$17,617,301",9.51%,-18.77%
Forsyth County,53.33%,30,"$12,694,589",10.71%,-0.30%
Franklin County,50.00%,6,"$3,709,842",10.42%,-29.24%
Fulton County,63.93%,549,"$1,937,171,121",9.83%,-8.48%
Gilmer County,66.67%,3,"$771,075",3.81%,-66.34%
Glascock County,100.00%,1,"$110,500",-51.64%,-128.75%
Glynn County,68.00%,25,"$64,560,149",13.37%,-14.88%
Gordon County,42.86%,7,"$5,309,934",11.33%,7.97%
Grady County,100.00%,3,"$436,579",-9.42%,-44.67%
Greene County,57.14%,7,"$6,726,506",12.28%,-11.23%
Gwinnett County,69.30%,114,"$136,475,139",9.04%,-13.76%
Habersham County,85.71%,7,"$8,113,557",-0.46%,-78.00%
Hall County,57.50%,40,"$101,816,184",9.26%,-2.99%
Hancock County,100.00%,1,"$26,850",-3.08%,-35.20%
Haralson County,33.33%,3,"$153,600",0.15%,0.15%
Harris County,66.67%,3,"$1,429,902",43.42%,-54.81%
Hart County,100.00%,1,"$1,105,280",3.83%,-81.70%
Heard County,100.00%,1,"$300,601",12.50%,-11.08%
Henry County,75.00%,20,"$10,940,841",2.22%,-16.77%
Houston County,66.67%,27,"$38,215,472",4.87%,-16.35%
Irwin County,100.00%,2,"$4,678,042",13.38%,-51.28%
Jackson County,75.00%,4,"$732,968",-8.86%,-33.83%
Jasper County,100.00%,1,"$1,843,571",-11.38%,-25.63%
Jeff Davis County,100.00%,3,"$101,649",-1.75%,-9.49%
Jefferson County,0.00%,1,"$227,504",18.58%,8.03%
Jenkins County,100.00%,1,"$389,024",4.33%,-88.69%
Johnson County,100.00%,2,"$10,342,249",8.68%,-26.05%
Jones County,100.00%,4,"$23,172,267",-2.38%,-11.20%
Lamar County,100.00%,2,"$279,024",17.15%,-80.62%
Lanier County,0.00%,1,"$11,972",31.44%,29.06%
Laurens County,50.00%,6,"$2,068,875",11.58%,-33.78%
Liberty County,100.00%,5,"$5,015,410",6.99%,-49.72%
Lowndes County,71.43%,21,"$49,461,570",11.41%,-30.94%
Lumpkin County,44.44%,9,"$2,433,210",21.55%,2.73%
Macon County,100.00%,3,"$3,845,933",1.46%,-68.66%
