Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Florida,69.89%,"4,265","$13,258,507,449",6.70%,-16.64%
Alachua County,77.12%,118,"$261,345,956",2.90%,-23.03%
Baker County,60.00%,5,"$3,687,604",17.64%,-12.88%
Bay County,74.29%,35,"$100,605,416",9.45%,-45.84%
Bradford County,75.00%,4,"$140,133",1.77%,-30.49%
Brevard County,68.81%,109,"$258,169,618",5.94%,-13.49%
Broward County,75.00%,276,"$1,278,310,938",5.43%,-23.09%
Calhoun County,100.00%,3,"$8,990,765",2.06%,-27.63%
Charlotte County,69.70%,33,"$30,049,549",8.80%,-33.21%
Citrus County,73.08%,26,"$34,490,449",2.96%,-52.68%
Clay County,82.61%,23,"$44,205,689",1.46%,-16.26%
Collier County,55.00%,80,"$219,301,180",10.30%,-3.36%
Columbia County,81.82%,11,"$27,834,049",2.40%,-47.31%
DeSoto County,66.67%,3,"$2,668,565",13.76%,-26.16%
Dixie County,100.00%,2,"$1,291,273",-1.07%,-80.86%
Duval County,73.89%,226,"$766,768,190",6.43%,-17.90%
Escambia County,74.63%,67,"$327,426,973",5.50%,-15.58%
Flagler County,72.22%,18,"$17,378,101",7.43%,-23.57%
Franklin County,37.50%,8,"$788,746",32.37%,9.32%
Gadsden County,91.67%,12,"$9,834,364",3.96%,-53.02%
Gilchrist County,0.00%,1,"$420,684",9.01%,4.47%
Gulf County,100.00%,5,"$6,623,849",5.90%,-58.59%
Hamilton County,100.00%,2,"$79,153",-79.67%,-95.34%
Hardee County,57.14%,7,"$1,396,147",17.39%,-18.83%
Hendry County,60.00%,5,"$378,772",13.92%,-5.69%
Hernando County,88.24%,17,"$43,399,435",4.71%,-32.50%
Highlands County,55.00%,20,"$11,206,050",13.57%,-3.39%
Hillsborough County,70.75%,294,"$1,452,578,137",5.70%,-14.32%
Holmes County,66.67%,3,"$10,484,050",16.56%,-1.21%
Indian River County,62.50%,48,"$62,313,046",11.35%,-18.62%
Jackson County,85.71%,7,"$35,936,359",1.32%,-95.97%
Jefferson County,100.00%,4,"$1,382,186",-13.41%,-90.48%
Lake County,63.46%,52,"$99,788,859",8.42%,-7.87%
Lee County,62.40%,125,"$232,816,668",11.21%,-8.65%
Leon County,81.61%,174,"$926,705,616",2.32%,-39.30%
Levy County,87.50%,8,"$2,980,266",3.45%,-25.09%
Liberty County,100.00%,1,"$456,385",10.32%,-62.76%
Madison County,88.89%,9,"$10,666,380",5.97%,-16.31%
Manatee County,68.75%,64,"$131,999,470",4.79%,-11.56%
Marion County,60.34%,58,"$99,988,649",10.75%,-14.99%
Martin County,57.78%,45,"$63,446,222",16.98%,-6.37%
Miami-Dade County,78.98%,566,"$2,486,797,623",6.01%,-29.53%
Monroe County,69.33%,75,"$60,917,536",9.67%,-23.75%
Nassau County,55.56%,18,"$12,230,993",11.69%,-6.57%
Okaloosa County,66.67%,42,"$87,810,101",4.38%,-10.32%
Okeechobee County,50.00%,6,"$2,472,907",13.95%,-14.23%
Orange County,62.63%,281,"$927,746,881",9.92%,-9.86%
Osceola County,80.49%,41,"$123,519,937",2.92%,-61.71%
Palm Beach County,62.62%,321,"$706,576,510",8.34%,-8.68%
Pasco County,65.62%,64,"$153,543,661",5.39%,-19.14%
Pinellas County,69.74%,271,"$820,575,800",4.02%,-16.87%
Polk County,64.49%,107,"$275,824,093",6.93%,-10.37%
Putnam County,58.33%,12,"$18,254,001",12.72%,-18.76%
Santa Rosa County,75.00%,8,"$13,051,448",9.42%,-40.54%
Sarasota County,55.94%,143,"$214,722,691",11.08%,-5.67%
Seminole County,70.31%,64,"$98,402,344",4.23%,-16.82%
St. Johns County,54.35%,46,"$82,007,183",10.33%,-3.21%
St. Lucie County,78.43%,51,"$126,268,146",2.62%,-30.57%
Sumter County,90.00%,10,"$79,896,447",2.35%,-15.38%
Suwannee County,85.71%,7,"$11,483,821",4.17%,-44.78%
Taylor County,50.00%,4,"$4,557,620",9.22%,-38.24%
Volusia County,62.89%,97,"$346,977,664",8.39%,-12.22%
Wakulla County,75.00%,4,"$1,892,803",1.75%,-25.93%
Walton County,66.67%,15,"$13,831,342",14.88%,-13.68%
Washington County,75.00%,4,"$811,956",6.98%,-30.62%
