Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,77.01%,274,"$31,364,975",4.00%,-28.43%
$10M or more,69.79%,96,"$1,076,616,081",6.00%,-10.28%
$1M to $4.9M,74.11%,282,"$276,294,866",4.88%,-19.46%
$500K to $999K,75.58%,172,"$52,969,750",6.13%,-25.65%
$5M to $9.9M,63.38%,71,"$224,157,164",9.96%,-14.62%
Less than $100K,59.57%,47,"$4,740,334",25.56%,-7.80%
Total,73.25%,942,"$1,666,143,170",5.87%,-20.73%
