Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Arizona,66.47%,"1,512","$4,467,689,527",8.49%,-12.82%
1st Congressional district,56.63%,196,"$377,300,420",10.91%,-3.65%
2nd Congressional district,68.87%,212,"$369,519,868",9.65%,-13.61%
3rd Congressional district,67.68%,297,"$1,363,307,236",7.73%,-17.07%
4th Congressional district,63.64%,176,"$498,009,661",5.96%,-8.99%
5th Congressional district,74.07%,81,"$418,336,312",7.39%,-39.61%
6th Congressional district,58.28%,151,"$317,354,492",9.59%,-7.70%
7th Congressional district,71.24%,233,"$800,327,752",7.58%,-18.38%
8th Congressional district,70.10%,97,"$124,579,901",8.57%,-11.14%
9th Congressional district,76.81%,69,"$198,953,885",9.02%,-25.57%
