Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",54.30%,151,"$90,884,097",17.58%,-2.75%
Education,75.11%,229,"$678,026,304",9.08%,-40.97%
Environment and animals,56.90%,58,"$26,329,614",15.35%,-9.26%
Health,69.01%,171,"$346,717,890",7.83%,-12.41%
Hospitals,41.03%,39,"$167,336,436",11.93%,5.73%
Human services,67.45%,682,"$679,476,084",9.24%,-14.52%
"International, foreign affairs",61.11%,18,"$117,569,621",6.37%,-3.86%
"Public, societal benefit",66.99%,206,"$206,310,366",13.43%,-20.87%
Religion-related,53.57%,56,"$23,030,543",12.06%,-3.01%
Unclassified,64.68%,470,"$774,379,699",7.53%,-10.16%
Universities,61.54%,26,"$298,920,285",6.35%,-1.27%
Total,65.53%,"2,106","$3,408,980,939",9.93%,-11.73%
