Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.34%,995,"$133,690,892",12.43%,-17.26%
$10M or more,60.53%,337,"$4,036,321,195",4.71%,-4.39%
$1M to $4.9M,64.60%,757,"$595,257,055",9.65%,-8.60%
$500K to $999K,62.78%,454,"$109,340,212",11.01%,-8.80%
$5M to $9.9M,54.71%,170,"$379,517,766",9.07%,-2.83%
Less than $100K,62.64%,174,"$10,355,453",30.03%,-16.64%
Total,64.43%,"2,887","$5,264,482,573",10.25%,-10.30%
