Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Colorado,60.13%,"2,704","$3,787,594,458",11.37%,-6.75%
1st Congressional district,68.08%,639,"$1,164,885,964",10.43%,-15.75%
2nd Congressional district,58.54%,521,"$620,386,136",11.83%,-5.04%
3rd Congressional district,60.48%,544,"$381,592,712",13.03%,-6.81%
4th Congressional district,62.20%,164,"$84,546,225",9.57%,-7.85%
5th Congressional district,53.66%,246,"$252,975,354",11.99%,-1.75%
6th Congressional district,55.12%,205,"$253,861,378",9.46%,-2.35%
7th Congressional district,53.53%,269,"$873,206,695",12.92%,-2.57%
8th Congressional district,56.90%,116,"$156,139,994",12.29%,-6.01%
