Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.54%,233,"$286,363,200",9.52%,-19.01%
Education,64.56%,237,"$255,375,248",8.32%,-8.69%
Environment and animals,54.05%,111,"$123,111,427",12.34%,-2.77%
Health,66.93%,257,"$971,962,842",6.58%,-11.99%
Hospitals,53.33%,15,"$41,720,829",1.73%,-0.52%
Human services,73.98%,830,"$938,262,118",8.05%,-23.46%
"International, foreign affairs",68.97%,29,"$397,486,740",7.28%,-10.13%
Mutual/membership benefit,50.00%,2,"$179,538",18.66%,-11.56%
"Public, societal benefit",70.22%,225,"$617,650,372",10.61%,-22.62%
Religion-related,72.97%,37,"$28,723,042",7.10%,-11.69%
Unclassified,66.18%,547,"$1,320,499,335",8.91%,-11.43%
Universities,63.16%,19,"$1,389,272,584",8.41%,-2.59%
Total,69.35%,"2,542","$6,370,607,275",8.48%,-15.39%
