Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.89%,190,"$21,295,558",8.56%,-19.05%
$10M or more,62.20%,82,"$874,504,204",7.66%,-9.36%
$1M to $4.9M,78.17%,252,"$387,703,009",9.81%,-32.96%
$500K to $999K,76.00%,100,"$29,330,626",11.74%,-14.36%
$5M to $9.9M,73.49%,83,"$392,697,341",8.75%,-76.66%
Less than $100K,60.61%,33,"$2,120,428",40.29%,-18.29%
Total,72.16%,740,"$1,707,651,166",9.68%,-23.91%
