Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,71.50%,379,"$50,301,263",7.84%,-32.97%
$10M or more,70.11%,174,"$2,096,604,671",5.78%,-14.20%
$1M to $4.9M,73.61%,341,"$359,677,044",8.94%,-27.53%
$500K to $999K,70.35%,199,"$70,109,049",7.56%,-28.90%
$5M to $9.9M,79.61%,103,"$368,853,961",5.11%,-33.98%
Less than $100K,66.67%,54,"$3,023,020",37.40%,-20.30%
Total,72.16%,"1,250","$2,948,569,008",7.76%,-26.93%
