Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.73%,339,"$38,831,997",11.09%,-16.98%
$10M or more,70.92%,141,"$658,230,448",5.55%,-4.94%
$1M to $4.9M,76.00%,250,"$220,288,644",3.91%,-16.98%
$500K to $999K,64.96%,137,"$37,790,252",9.79%,-14.31%
$5M to $9.9M,79.27%,82,"$178,638,498",4.53%,-11.94%
Less than $100K,56.14%,57,"$3,693,489",28.17%,-3.54%
Total,70.48%,"1,006","$1,137,473,328",7.71%,-12.42%
