Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",57.87%,375,"$185,210,174",16.08%,-2.48%
Education,53.14%,382,"$626,290,629",14.72%,-1.30%
Environment and animals,39.39%,132,"$406,317,550",23.58%,6.99%
Health,66.03%,262,"$1,709,540,632",8.31%,-8.00%
Hospitals,71.43%,21,"$1,486,496,521",0.75%,-7.70%
Human services,65.12%,883,"$2,763,790,836",9.82%,-8.89%
"International, foreign affairs",60.42%,48,"$768,367,664",4.90%,-4.15%
Mutual/membership benefit,100.00%,1,"$23,120",-90.32%,-95.95%
"Public, societal benefit",62.75%,255,"$550,943,365",10.44%,-12.21%
Religion-related,51.43%,35,"$12,370,913",16.06%,-0.30%
Unclassified,63.39%,743,"$2,299,156,271",10.73%,-8.23%
Universities,55.36%,56,"$2,076,673,548",3.72%,-0.89%
Total,60.91%,"3,193","$12,885,181,223",10.98%,-5.58%
