Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,61.47%,462,"$43,487,655",12.97%,-8.70%
$10M or more,63.13%,198,"$895,624,125",4.66%,-3.79%
$1M to $4.9M,66.32%,285,"$185,994,529",10.08%,-6.00%
$500K to $999K,61.78%,191,"$43,383,461",11.91%,-6.74%
$5M to $9.9M,71.56%,109,"$192,022,670",5.36%,-6.12%
Less than $100K,52.48%,101,"$8,557,043",42.69%,-2.52%
Total,62.93%,"1,346","$1,369,069,483",10.07%,-5.87%
