Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,65.24%,187,"$21,292,610",14.24%,-13.38%
$10M or more,72.41%,87,"$854,241,517",4.09%,-6.30%
$1M to $4.9M,67.88%,165,"$154,336,658",10.75%,-16.94%
$500K to $999K,66.25%,80,"$18,411,602",8.14%,-13.63%
$5M to $9.9M,70.21%,47,"$92,406,261",7.68%,-7.17%
Less than $100K,44.44%,27,"$1,228,141",24.29%,3.70%
Total,66.61%,593,"$1,141,916,789",9.09%,-11.28%
