Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.52%,157,"$17,563,114",7.43%,-25.43%
$10M or more,77.78%,9,"$68,482,519",7.23%,-16.41%
$1M to $4.9M,78.79%,99,"$103,685,689",3.45%,-47.92%
$500K to $999K,63.89%,72,"$20,913,783",5.97%,-21.05%
$5M to $9.9M,90.48%,21,"$59,588,263",3.41%,-28.91%
Less than $100K,50.00%,22,"$773,594",33.48%,6.26%
Total,70.26%,380,"$271,006,962",5.89%,-26.44%
