Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.32%,114,"$39,109,996",12.78%,-13.83%
Education,78.80%,184,"$869,012,109",7.32%,-58.86%
Environment and animals,47.14%,70,"$41,075,555",16.00%,1.86%
Health,77.14%,140,"$242,534,232",6.30%,-27.12%
Hospitals,66.67%,18,"$159,928,925",4.59%,-8.06%
Human services,69.32%,427,"$300,422,661",10.07%,-19.10%
"International, foreign affairs",66.67%,6,"$1,204,782",3.21%,-0.54%
Mutual/membership benefit,0.00%,1,"$673,895",32.91%,8.97%
"Public, societal benefit",71.19%,118,"$141,085,219",9.14%,-19.21%
Religion-related,53.12%,32,"$6,579,476",11.29%,-1.19%
Unclassified,70.14%,221,"$444,129,369",9.04%,-19.54%
Universities,57.14%,14,"$102,331,865",5.41%,-3.61%
Total,70.56%,"1,345","$2,348,088,084",9.23%,-19.40%
