Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
South Dakota,60.71%,481,"$855,624,309",11.55%,-5.73%
Beadle County,72.73%,11,"$3,541,265",6.40%,-7.69%
Bennett County,75.00%,4,"$4,098,814",27.39%,-20.19%
Bon Homme County,50.00%,2,"$670,340",7.36%,3.27%
Brookings County,64.71%,17,"$14,425,671",15.79%,-12.61%
Brown County,63.16%,19,"$20,392,988",8.70%,-3.10%
Brule County,100.00%,2,"$240,910",7.08%,-50.40%
Butte County,60.00%,5,"$2,132,029",1.37%,-14.66%
Charles Mix County,75.00%,8,"$28,755,812",8.50%,-22.07%
Clark County,0.00%,1,"$7,330",11.34%,0.50%
Clay County,66.67%,9,"$1,902,194",12.64%,-7.15%
Codington County,52.17%,23,"$21,726,211",14.81%,-0.02%
Corson County,100.00%,1,"$136,547",21.42%,-67.76%
Custer County,75.00%,4,"$677,431",14.46%,-23.33%
Davison County,81.82%,11,"$12,826,691",0.85%,-13.34%
Day County,40.00%,5,"$5,909,059",11.90%,4.16%
Deuel County,100.00%,2,"$346,722",-5.09%,-41.02%
Dewey County,75.00%,4,"$948,649",-0.25%,-11.27%
Douglas County,50.00%,2,"$150,129",-12.64%,-13.40%
Fall River County,66.67%,3,"$6,907,517",20.63%,-1.64%
Faulk County,0.00%,1,"$2,910,013",21.05%,0.61%
Grant County,100.00%,2,"$585,504",4.25%,-4.99%
Gregory County,0.00%,3,"$2,972,577",31.27%,19.32%
Haakon County,0.00%,1,"$1,849,287",16.25%,5.86%
Hamlin County,0.00%,1,"$35,636",71.08%,11.62%
Hand County,100.00%,2,"$178,673",7.21%,-12.41%
Hughes County,65.00%,20,"$74,584,811",7.02%,-41.89%
Hutchinson County,37.50%,8,"$5,477,942",17.24%,1.14%
Jackson County,71.43%,7,"$69,547,179",8.96%,-54.48%
Jones County,100.00%,1,"$32,321",12.36%,-13.17%
Kingsbury County,50.00%,2,"$31,950",31.27%,19.02%
Lake County,45.45%,11,"$23,534,514",10.33%,1.91%
Lawrence County,59.26%,27,"$7,703,148",15.93%,-15.72%
Lincoln County,71.43%,7,"$3,769,028",4.31%,-7.06%
Lyman County,100.00%,1,"$503,885",-2.98%,-84.16%
Marshall County,100.00%,2,"$404,878",15.78%,-4.09%
McPherson County,100.00%,2,"$334,519",3.61%,-5.62%
Meade County,71.43%,7,"$2,352,624",5.50%,-12.49%
Miner County,100.00%,2,"$18,684,922",18.40%,-26.32%
Minnehaha County,58.42%,101,"$262,927,847",9.54%,-4.64%
Oglala Lakota County,66.67%,9,"$14,211,026",25.72%,-15.22%
Pennington County,57.53%,73,"$153,641,247",11.27%,-5.73%
Perkins County,25.00%,4,"$1,520,125",13.88%,1.17%
Potter County,50.00%,2,"$608,924",-1.51%,-30.22%
Roberts County,71.43%,7,"$24,272,564",15.82%,-2.72%
Spink County,0.00%,1,"$12,780",12.60%,8.17%
Stanley County,100.00%,5,"$5,714,339",6.84%,-21.27%
Todd County,80.00%,5,"$23,768,338",-0.20%,-98.78%
Tripp County,75.00%,4,"$6,053,692",8.77%,-8.25%
Turner County,20.00%,5,"$3,322,630",25.10%,4.61%
Union County,75.00%,4,"$277,484",0.99%,-17.45%
Walworth County,66.67%,3,"$1,612,881",1.22%,-4.76%
Yankton County,53.33%,15,"$14,414,134",17.81%,-3.42%
Ziebach County,0.00%,3,"$1,976,578",59.84%,39.78%
