Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Iowa,62.93%,"1,346","$1,369,069,483",10.07%,-5.87%
Adams County,66.67%,3,"$839,932",-132.66%,-205.68%
Allamakee County,50.00%,8,"$1,514,319",10.96%,-0.60%
Appanoose County,55.56%,9,"$2,827,433",22.01%,-2.26%
Audubon County,33.33%,3,"$950,142",25.23%,16.31%
Benton County,20.00%,5,"$740,394",31.23%,30.57%
Black Hawk County,76.27%,59,"$84,699,960",5.38%,-14.47%
Boone County,50.00%,12,"$4,202,455",19.89%,-1.51%
Bremer County,90.91%,11,"$6,041,361",0.72%,-19.88%
Buchanan County,57.14%,7,"$1,366,860",21.83%,-12.26%
Buena Vista County,100.00%,5,"$7,815,696",4.45%,-17.08%
Butler County,50.00%,2,"$194,749",22.33%,4.83%
Calhoun County,50.00%,2,"$2,379,465",1.48%,-18.49%
Carroll County,71.43%,14,"$26,557,878",11.95%,-4.34%
Cass County,83.33%,6,"$2,735,621",3.76%,-50.35%
Cedar County,57.14%,7,"$1,479,202",17.18%,-3.23%
Cerro Gordo County,72.00%,25,"$36,036,515",6.02%,-11.52%
Cherokee County,40.00%,5,"$6,015,714",18.50%,1.72%
Chickasaw County,20.00%,5,"$258,144",34.13%,5.72%
Clarke County,50.00%,4,"$282,477",28.04%,20.24%
Clay County,80.00%,10,"$10,340,673",4.61%,-33.14%
Clayton County,57.14%,7,"$994,156",-1.24%,-2.58%
Clinton County,86.36%,22,"$11,285,148",3.21%,-19.66%
Crawford County,50.00%,6,"$2,847,925",17.39%,-1.35%
Dallas County,56.25%,16,"$3,724,538",8.16%,-2.44%
Davis County,100.00%,2,"$62,103",-2.94%,-19.39%
Decatur County,80.00%,5,"$16,765,810",7.03%,-31.00%
Delaware County,100.00%,5,"$2,359,885",-1.14%,-6.74%
Des Moines County,65.00%,20,"$36,096,283",13.99%,-5.97%
Dickinson County,40.00%,5,"$1,902,292",24.10%,18.91%
Dubuque County,51.52%,66,"$46,944,567",11.27%,-0.74%
Emmet County,0.00%,1,"$462,151",11.44%,9.94%
Fayette County,85.71%,7,"$12,812,976",5.90%,-14.10%
Floyd County,33.33%,6,"$1,177,879",21.44%,8.11%
Franklin County,88.89%,9,"$661,844",2.31%,-8.43%
Fremont County,50.00%,4,"$559,840",28.86%,12.56%
Greene County,0.00%,2,"$596,156",41.29%,22.52%
Grundy County,60.00%,5,"$784,627",25.84%,-1.01%
Guthrie County,20.00%,5,"$1,765,427",35.13%,31.34%
Hamilton County,100.00%,2,"$212,428",12.24%,-35.30%
Hancock County,40.00%,5,"$206,865",23.25%,17.53%
Hardin County,66.67%,9,"$1,593,160",7.90%,-1.73%
Harrison County,57.14%,7,"$1,566,408",15.74%,-15.61%
Henry County,25.00%,8,"$3,380,680",29.97%,8.48%
Howard County,40.00%,5,"$226,518",36.63%,6.67%
Humboldt County,40.00%,5,"$351,227",26.03%,0.64%
Ida County,50.00%,2,"$79,903",22.34%,-26.09%
Iowa County,77.78%,9,"$1,958,794",24.06%,-10.74%
Jackson County,50.00%,6,"$1,737,388",17.08%,2.04%
Jasper County,66.67%,6,"$203,624",6.68%,-7.75%
Jefferson County,10.00%,10,"$1,013,385",16.27%,13.91%
Johnson County,54.79%,73,"$40,575,717",14.29%,-0.57%
Jones County,40.00%,10,"$3,180,706",19.66%,11.46%
Keokuk County,0.00%,1,"$20,213",17.15%,7.76%
Kossuth County,50.00%,6,"$1,082,199",15.14%,0.95%
Lee County,30.00%,10,"$1,500,055",31.70%,10.94%
Linn County,64.37%,87,"$133,109,738",5.76%,-4.06%
Louisa County,50.00%,2,"$134,604",17.70%,-0.18%
Lucas County,25.00%,4,"$6,682,285",28.48%,24.96%
Lyon County,50.00%,6,"$977,180",19.92%,4.31%
Madison County,50.00%,6,"$462,411",16.18%,-4.63%
Mahaska County,50.00%,10,"$3,327,929",10.75%,0.22%
Marion County,41.67%,12,"$5,682,132",10.92%,5.45%
Marshall County,75.00%,12,"$20,498,204",3.42%,-23.74%
Mitchell County,75.00%,8,"$1,384,461",3.24%,-11.22%
Monona County,66.67%,3,"$651,374",-3.32%,-5.03%
Monroe County,75.00%,4,"$729,620",24.70%,-26.58%
Montgomery County,40.00%,5,"$862,667",35.26%,10.85%
Muscatine County,64.29%,14,"$7,474,075",12.18%,-2.84%
O'Brien County,72.73%,11,"$1,791,884",11.69%,-4.22%
Osceola County,100.00%,1,"$705,653",-3.83%,-8.94%
Page County,28.57%,7,"$7,096,269",20.29%,4.95%
Palo Alto County,66.67%,6,"$21,958,515",7.06%,-6.01%
Plymouth County,75.00%,12,"$23,212,367",6.48%,-15.18%
Pocahontas County,100.00%,2,"$398,199",17.42%,-17.72%
Polk County,67.41%,224,"$355,083,310",8.95%,-9.06%
Pottawattamie County,66.67%,24,"$17,293,121",8.06%,-7.56%
